ลำดับที่,สำนักงานชลประทาน,สถานี,ชื่อสถานี,Code,ลุ่มน้ำ,แม่น้ำ,อำเภอ,จังหวัด,"ระดับตลิ่ง
(เมตร)","ความจุฯ
ลบ.ม/วิ","ศูนย์เสาระดับ
ม.(ร.ท.ก.)"
64,สำนักงานชลประทานที่ 1,Sw.5A,บ้านท่าโป่งแดง,,ลุ่มน้ำปาย,น้ำปาย,เมืองแม่ฮ่องสอน,แม่ฮ่องสอน,5.0,650.0,175.76
65,สำนักงานชลประทานที่ 2,W.10A,บ้านดอนมูล,,ลุ่มน้ำวัง,แม่น้ำวัง,เมืองลำปาง,ลำปาง,6.6,578.0,259.0
66,สำนักงานชลประทานที่ 2,W.10B,บ้านดอนมูล,,ลุ่มน้ำวัง,แม่น้ำวัง,เมืองลำปาง,ลำปาง,,,
67,สำนักงานชลประทานที่ 2,W.16A,บ้านไฮ,,ลุ่มน้ำวัง,แม่น้ำวัง,แจ้ห่ม,ลำปาง,,,
68,สำนักงานชลประทานที่ 2,W.17,บ้านหนองนาว,,ลุ่มน้ำวัง,น้ำแม่สอย,แจ้ห่ม,ลำปาง,,,
69,สำนักงานชลประทานที่ 2,W.17A,บ้านทุ่งทอง,,ลุ่มน้ำวัง,น้ำแม่สอย,แจ้ห่ม,ลำปาง,,,
70,สำนักงานชลประทานที่ 2,W.18A,บ้านสบต่ำ,,ลุ่มน้ำวัง,น้ำแม่ต่ำ,เกาะคา,ลำปาง,,,
71,สำนักงานชลประทานที่ 2,W.1C,สะพานเสตุวารี,,ลุ่มน้ำวัง,แม่น้ำวัง,เมืองลำปาง,ลำปาง,5.2,412.5,229.3
72,สำนักงานชลประทานที่ 2,W.20,บ้านท่าล้อ,,ลุ่มน้ำวัง,น้ำแม่ตุ๋ย,เมืองลำปาง,ลำปาง,,,
73,สำนักงานชลประทานที่ 2,W.21,บ้านท่าเดื่อ,,ลุ่มน้ำวัง,แม่น้ำวัง,เมืองลำปาง,ลำปาง,,,
74,สำนักงานชลประทานที่ 2,W.22,บ้านวังพร้าว,,ลุ่มน้ำวัง,น้ำแม่จาง,เกาะคา,ลำปาง,,,
75,สำนักงานชลประทานที่ 2,W.25,บ้านร่องเคาะ,,ลุ่มน้ำวัง,แม่น้ำวัง,วังเหนือ,ลำปาง,,,
76,สำนักงานชลประทานที่ 2,W.26,บ้านเมืองมาย,,ลุ่มน้ำวัง,ห้วยแม่ต๋า,แจ้ห่ม,ลำปาง,,,
77,สำนักงานชลประทานที่ 2,W.3A,บ้านดอนชัย,,ลุ่มน้ำวัง,แม่น้ำวัง,เถิน,ลำปาง,4.8,897.0,161.0
78,สำนักงานชลประทานที่ 2,W.5A,บ้านเกาะคา,,ลุ่มน้ำวัง,แม่น้ำวัง,เกาะคา,ลำปาง,,,
79,สำนักงานชลประทานที่ 2,W.6A,บ้านสบปราบ,,ลุ่มน้ำวัง,แม่น้ำวัง,สบปราบ,ลำปาง,,,
80,สำนักงานชลประทานที่ 2,Y.13A,บ้านหลวงเหนือ,,ลุ่มน้ำยม,น้ำงาว,งาว,ลำปาง,,,
81,สำนักงานชลประทานที่ 4,Y.1C,บ้านน้ำโค้ง,,ลุ่มน้ำยม,แม่น้ำยม,เมืองแพร่,แพร่,8.2,992.0,143.5
82,สำนักงานชลประทานที่ 4,Y.20,บ้านห้วยสัก,,ลุ่มน้ำยม,แม่น้ำยม,สอง,แพร่,8.1,710.5,181.0
83,สำนักงานชลประทานที่ 2,Y.24,บ้านมาง,,ลุ่มน้ำยม,น้ำปี้,เชียงม่วน,พะเยา,,,
84,สำนักงานชลประทานที่ 2,Y.30,บ้านโป่ง,,ลุ่มน้ำยม,ห้วยโป่ง,งาว,ลำปาง,,,
85,สำนักงานชลประทานที่ 4,Y.31,บ้านทุ่งหนอง,,ลุ่มน้ำยม,แม่น้ำยม,เชียงม่วน,พะเยา,,,
86,สำนักงานชลประทานที่ 4,Y.34,บ้านแม่หล่าย,,ลุ่มน้ำยม,น้ำแม่หล่าย,เมืองแพร่,แพร่,,,
87,สำนักงานชลประทานที่ 2,Y.36,บ้านป่าคา,,ลุ่มน้ำยม,น้ำควร,ปง,พะเยา,,,
88,สำนักงานชลประทานที่ 4,Y.37,บ้านวังชิ้น,,ลุ่มน้ำยม,แม่น้ำยม,วังชิ้น,แพร่,11.0,1330.4,92.28
89,สำนักงานชลประทานที่ 4,Y.37A,บ้านวังชิ้น,,ลุ่มน้ำยม,แม่น้ำยม,วังชิ้น,แพร่,,,
90,สำนักงานชลประทานที่ 4,Y.38,บ้านแม่คำมีตำหนักธรรม,,ลุ่มน้ำยม,น้ำแม่คำมี,หนองม่วงไข่,แพร่,,,
91,สำนักงานชลประทานที่ 2,Y.65,บ้านพี้ใต้,,ลุ่มน้ำยม,น้ำปี้,บ้านหลวง,น่าน,,,
92,สำนักงานชลประทานที่ 4,Y.66,บ้านวังดิน,,ลุ่มน้ำยม,แม่น้ำยม,สอง,แพร่,,,
93,สำนักงานชลประทานที่ 4,Y.67,บ้านหนุนใต้,,ลุ่มน้ำยม,แม่น้ำยม,สอง,แพร่,,,
94,สำนักงานชลประทานที่ 3,N.2B,ในเมือง,,ลุ่มน้ำน่าน,แม่น้ำน่าน,เมืองอุตรดิตถ์,อุตรดิตถ์,7.0,1910.0,
95,สำนักงานชลประทานที่ 3,N.5A,ในเมือง,,ลุ่มน้ำน่าน,แม่น้ำน่าน,เมืองพิษณุโลก,พิษณุโลก,10.37,1365.0,
96,สำนักงานชลประทานที่ 3,N.7A,บ้านราชช้างขวัญ,,ลุ่มน้ำน่าน,แม่น้ำน่าน,เมืองพิจิตร,พิจิตร,9.87,997.0,
97,สำนักงานชลประทานที่ 3,N.8,บ้านบางมูลนาก,,ลุ่มน้ำน่าน,แม่น้ำน่าน,บางมูลนาก,พิจิตร,15.45,1228.0,
98,สำนักงานชลประทานที่ 3,N.12A,บ้านหาดไผ่,,ลุ่มน้ำน่าน,แม่น้ำน่าน,ท่าปลา,อุตรดิตถ์,12.46,3000.0,
99,สำนักงานชลประทานที่ 3,N.22A,บ้านท่างาม,,ลุ่มน้ำน่าน,แม่น้ำแควน้อย,วัดโบสถ์,พิษณุโลก,,,
100,สำนักงานชลประทานที่ 3,N.24A,บ้านวังทอง,,ลุ่มน้ำน่าน,น้ำเข็ก,วังทอง,พิษณุโลก,,,
101,สำนักงานชลประทานที่ 3,N.27A,ท้ายเขื่อนเรศวร,,ลุ่มน้ำน่าน,แม่น้ำน่าน,พรหมพิราม,พิษณุโลก,9.8,1067.0,
102,สำนักงานชลประทานที่ 3,N.28A,บ้านนากล่ำ,,ลุ่มน้ำน่าน,คลองตรอน,น้ำปาด,อุตรดิตถ์,,,
103,สำนักงานชลประทานที่ 3,N.36,บ้านหนองกระท้าว,,ลุ่มน้ำน่าน,แม่น้ำแควน้อย,นครไทย,พิษณุโลก,,,
104,สำนักงานชลประทานที่ 3,N.40,บ้านหนองบอน,,ลุ่มน้ำน่าน,แม่น้ำแควน้อย,วัดโบสถ์,พิษณุโลก,,,
105,สำนักงานชลประทานที่ 3,N.43A,บ้านชมพู,,ลุ่มน้ำน่าน,ห้วยชมพู,เนินมะปราง,พิษณุโลก,,,
106,สำนักงานชลประทานที่ 10,N.54,บ้านวังโป่ง,,ลุ่มน้ำน่าน,คลองวังโป่ง,วังโป่ง,เพชรบูรณ์,,,
107,สำนักงานชลประทานที่ 3,N.55,บ้านท่าสะแก,,ลุ่มน้ำน่าน,น้ำภาค,ชาติตระการ,พิษณุโลก,,,
108,สำนักงานชลประทานที่ 3,N.58,บ้านกกม่วง,,ลุ่มน้ำน่าน,น้ำเฟื้อ,นครไทย,พิษณุโลก,,,
109,สำนักงานชลประทานที่ 3,N.59,บ้านนาโพธิ์นาจาน,,ลุ่มน้ำน่าน,น้ำคาน,นครไทย,พิษณุโลก,,,
110,สำนักงานชลประทานที่ 3,N.60,บ้านเด่นสำโรง,,ลุ่มน้ำน่าน,แม่น้ำน่าน,ตรอน,อุตรดิตถ์,8.0,1990.0,
111,สำนักงานชลประทานที่ 3,N.62,บ้านห้วยท่าเนื้อ,,ลุ่มน้ำน่าน,น้ำคลึง,ชาติตระการ,พิษณุโลก,,,
112,สำนักงานชลประทานที่ 3,N.66,บ้านเนินเพิ่ม,,ลุ่มน้ำน่าน,ห้วยออมสิงห์,นครไทย,พิษณุโลก,,,
113,สำนักงานชลประทานที่ 3,N.68,ท่าตะเคียน,,ลุ่มน้ำน่าน,แม่น้ำน่าน,เมืองพิษณุโลก,พิษณุโลก,,,
114,สำนักงานชลประทานที่ 3,N.69,บ้านนาทุ่งใหญ่,,ลุ่มน้ำน่าน,แม่น้ำแควน้อย,นครไทย,พิษณุโลก,,,
115,สำนักงานชลประทานที่ 3,N.70,บ้านโคกผักหวาน,,ลุ่มน้ำน่าน,ห้วยน้ำคับ,ชาติตระการ,พิษณุโลก,,,
116,สำนักงานชลประทานที่ 3,N.72,บ้านวังปรากฏ,,ลุ่มน้ำน่าน,คลองตรอน,ทองแสงขัน,อุตรดิตถ์,,,
117,สำนักงานชลประทานที่ 10,N.73,บ้านทานตะวัน,,ลุ่มน้ำน่าน,น้ำเข็ก,เขาค้อ,เพชรบูรณ์,,,
118,สำนักงานชลประทานที่ 3,N.74,บ้านบางกระทุ่ม,,ลุ่มน้ำน่าน,แม่น้ำน่าน,บางกระทุ่ม,พิษณุโลก,,,
119,สำนักงานชลประทานที่ 3,N.81,บ้านแก่งบัวคำ,,ลุ่มน้ำน่าน,แม่น้ำแควน้อย,ชาติตระการ,พิษณุโลก,,,
120,สำนักงานชลประทานที่ 3,N.82,บ้านแก่งทรายงาม,,ลุ่มน้ำน่าน,ห้วยน้ำรี,ท่าปลา,อุตรดิตถ์,,,
121,สำนักงานชลประทานที่ 3,N.83,บ้านกิ๋วเคียน,,ลุ่มน้ำน่าน,ห้วยน้ำรี,ท่าปลา,อุตรดิตถ์,,,
122,สำนักงานชลประทานที่ 3,N.84,น้ำปาด,,ลุ่มน้ำน่าน,น้ำปาด,น้ำปาด,อุตรดิตถ์,,,
123,สำนักงานชลประทานที่ 4,Y.3A,บ้านวังขอนไม้,,ลุ่มน้ำยม,แม่น้ำยม,สวรรคโลก,สุโขทัย,,,
124,สำนักงานชลประทานที่ 4,Y.4,ในเมือง,,ลุ่มน้ำยม,แม่น้ำยม,เมือง,สุโขทัย,8.15,510.0,
125,สำนักงานชลประทานที่ 3,Y.5,หน้าอำเภอโพทะเล,,ลุ่มน้ำยม,แม่น้ำยม,โพทะเล,พิจิตร,,,
126,สำนักงานชลประทานที่ 3,Y.6,บ้านแก่งหลวง,,ลุ่มน้ำยม,แม่น้ำยม,ศรีสัชนาลัย,สุโขทัย,,,
127,สำนักงานชลประทานที่ 3,Y.14A,บ้านแม่สำ,,ลุ่มน้ำยม,แม่น้ำยม,ศรีสัชนาลัย,สุโขทัย,11.3,1965.0,
128,สำนักงานชลประทานที่ 3,Y.15,บ้านกง,,ลุ่มน้ำยม,แม่น้ำยม,กงไกรลาศ,สุโขทัย,10.32,492.0,
129,สำนักงานชลประทานที่ 3,Y.16,บ้านบางระกำ,,ลุ่มน้ำยม,แม่น้ำยม,บางระกำ,พิษณุโลก,7.3,208.0,
130,สำนักงานชลประทานที่ 3,Y.17,สามง่าม,,ลุ่มน้ำยม,แม่น้ำยม,สามง่าม,พิจิตร,6.76,614.0,
131,สำนักงานชลประทานที่ 4,Y.21,บ้านนาปลากลั้ง,,ลุ่มน้ำยม,ห้วยแม่สิน,ศรีสัชนาลัย,สุโขทัย,,,
132,สำนักงานชลประทานที่ 2,Y.26,บ้านแม่พุ,,ลุ่มน้ำยม,ห้วยแม่มอก,เถิน,ลำปาง,,,
133,สำนักงานชลประทานที่ 4,Y.29,บ้านแม่ฮู้,,ลุ่มน้ำยม,ห้วยแม่ฮู้,ศรีสัชนาลัย,สุโขทัย,,,
134,สำนักงานชลประทานที่ 4,Y.33,บ้านคลองตาล,,ลุ่มน้ำยม,แม่น้ำยม,ศรีสำโรง,สุโขทัย,10.4,690.0,
135,สำนักงานชลประทานที่ 3,Y.40,หน้าวัดคงคาราม,,ลุ่มน้ำยม,แม่น้ำยม,โพทะเล,พิจิตร,,,
136,สำนักงานชลประทานที่ 3,Y.42,ท่าตะคล้อ,,ลุ่มน้ำยม,แม่น้ำยม,โพธิ์ประทับช้าง,พิจิตร,,,
137,สำนักงานชลประทานที่ 3,Y.64,บางระกำ,,ลุ่มน้ำยม,แม่น้ำยม,บางระกำ,พิษณุโลก,6.4,352.0,
138,สำนักงานชลประทานที่ 4,P.2A,บ้านท่าแค,,ลุ่มน้ำปิง,แม่น้ำปิง,เมือง,ตาก,5.78,2600.0,
139,สำนักงานชลประทานที่ 4,P.7A,ในเมือง,,ลุ่มน้ำปิง,แม่น้ำปิง,เมือง,กำแพงเพชร,5.34,3000.0,
140,สำนักงานชลประทานที่ 4,P.12C,บ้านย่านรี,,ลุ่มน้ำปิง,แม่น้ำปิง,สามเงา,ตาก,5.44,1660.0,
141,สำนักงานชลประทานที่ 4,P.15,หน้าวัดศรีภิรมย์,,ลุ่มน้ำปิง,แม่น้ำปิง,คลองขลุง,กำแพงเพชร,,,
142,สำนักงานชลประทานที่ 4,P.16,บ้านแสนตอ,,ลุ่มน้ำปิง,แม่น้ำปิง,ขาณุวรลักษณบุรี,กำแพงเพชร,6.67,2862.0,
143,สำนักงานชลประทานที่ 4,P.26A,บ้านใหม่,,ลุ่มน้ำปิง,คลองสวนหมาก,เมือง,กำแพงเพชร,,,
144,สำนักงานชลประทานที่ 4,P.50A,บ้านไทยทวี,,ลุ่มน้ำปิง,คลองวังเจ้า,โกสัมพีนคร,กำแพงเพชร,,,
145,สำนักงานชลประทานที่ 4,P.78,บ้านสามเรือน,,ลุ่มน้ำปิง,คลองขลุง,คลองขลุง,กำแพงเพชร,,,
146,สำนักงานชลประทานที่ 4,W.23,บ้านแม่เชียงราย,, ลุ่มน้ำวัง,แม่น้ำวัง,สามเงา,ตาก,6.3,475.0,
147,สำนักงานชลประทานที่ 4,W.4A,บ้านวังหมัน,, ลุ่มน้ำวัง,แม่น้ำวัง,สามเงา,ตาก,7.0,530.0,
148,สำนักงานชลประทานที่ 4,W.24,บ้านท่าไผ่,, ลุ่มน้ำวัง,แม่น้ำวัง,สามเงา,ตาก,8.5,463.0,
149,สำนักงานชลประทานที่ 10,S.3,บ้านตาลเดี่ยว,, ลุ่มน้ำป่าสัก,แม่น้ำป่าสัก,หล่มสัก,เพชรบูรณ์,8.3,85.0,
150,สำนักงานชลประทานที่ 10,S.10,บ้านหินฮาว,, ลุ่มน้ำป่าสัก,ห้วยน้ำพุง,หล่มเก่า,เพชรบูรณ์,,,
151,สำนักงานชลประทานที่ 10,S.17,บ้านฝายวังบน,, ลุ่มน้ำป่าสัก,ห้วยน้ำชุน,หล่มสัก,เพชรบูรณ์,,,
152,สำนักงานชลประทานที่ 10,S.33,บ้านท่าไฮหยอง,, ลุ่มน้ำป่าสัก,แม่น้ำป่าสัก,หล่มเก่า,เพชรบูรณ์,8.84,366.0,
153,สำนักงานชลประทานที่ 10,S.36,บ้านโนนทอง,, ลุ่มน้ำป่าสัก,แม่น้ำป่าสัก,หล่มสัก,เพชรบูรณ์,,,
154,สำนักงานชลประทานที่ 10,S.42,บ้านบ่อรัง,, ลุ่มน้ำป่าสัก,แม่น้ำป่าสัก,วิเชียรบุรี,เพชรบูรณ์,11.0,283.0,
155,สำนักงานชลประทานที่ 10,S.4B,ในเมือง,, ลุ่มน้ำป่าสัก,แม่น้ำป่าสัก,เมือง,เพชรบูรณ์,9.2,190.0,
156,สำนักงานชลประทานที่ 10,S.45,บ้านวังเตียน,, ลุ่มน้ำป่าสัก,ห้วยเล็ง,วิเชียรบุรี,เพชรบูรณ์,,,
157,สำนักงานชลประทานที่ 4,SW.6,บ้านแม่ละเมา,,ลุ่มน้ำสาละวิน,ห้วยแม่ละเมา,แม่สอด,ตาก,,,
158,สำนักงานชลประทานที่ 6,E.5,บ้านโนนเปลือย,,น้ำชี,แม่น้ำชี,บ้านเขว้า,ชัยภูมิ,,,
159,สำนักงานชลประทานที่ 6,E.6C,บ้านตาดโตน,,น้ำชี,ลำปะทาว,เมืองชัยภูมิ,ชัยภูมิ,,,
160,สำนักงานชลประทานที่ 6,E.9,-,,น้ำชี,แม่น้ำชี,ชนบท,ขอนแก่น,11.0,480.0,151.1
161,สำนักงานชลประทานที่ 6,E.18,บ้านท่าแสบง,,น้ำชี,แม่น้ำชี,กิ่ง อ.ทุ่งเขาหลวง,ร้อยเอ็ด,9.8,1050.0,122.2
162,สำนักงานชลประทานที่ 7,E.20A,บ้านฟ้าหยาด,,น้ำชี,แม่น้ำชี,มหาชนะชัย,ยโสธร,10.0,1100.0,112.0
163,สำนักงานชลประทานที่ 6,E.22B,บ้านท่าเม่า,,น้ำชี,ลำน้ำพอง,น้ำพอง,ขอนแก่น,,,
164,สำนักงานชลประทานที่ 6,E.23,บ้านค่าย,,น้ำชี,แม่น้ำชี,เมืองชัยภูมิ,ชัยภูมิ,9.0,290.0,176.2
165,สำนักงานชลประทานที่ 5,E.29A,บ้านผานกเค้า,,น้ำชี,ลำน้ำพอง,ภูกระดึง,เลย,,,
166,สำนักงานชลประทานที่ 6,E.32A,บ้านหนองอ้อ,,น้ำชี,แม่น้ำชี,บ้านเขว้า,ชัยภูมิ,,,
167,สำนักงานชลประทานที่ 6,E.54,บ้านกุดฉิมคุ้มใหญ่,,น้ำชี,ลำน้ำยัง,กุฉินารายณ์,กาฬสินธุ์,,,138.3
168,สำนักงานชลประทานที่ 6,E.57A,บ้านสมสนุก,,น้ำชี,น้ำยัง,เขาวง,กาฬสินธุ์,,,169.1
169,สำนักงานชลประทานที่ 5,E.64A,บ้านนาแก,,น้ำชี,ลำพะเนียง,นาวัง,หนองบัวลำภู,,,
170,สำนักงานชลประทานที่ 5,E.65,บ้านท่าไฮ,,น้ำชี,ลำปาว,ศรีธาตุ,อุดรธานี,,,
171,สำนักงานชลประทานที่ 6,E.66A,บ้านม่วงลาด,,น้ำชี,แม่น้ำชี,จังหาร,ร้อยเอ็ด,11.6,710.0,126.9
172,สำนักงานชลประทานที่ 6,E.67,บ้านท่างาม,,น้ำชี,ลำพันชาด,สามชัย,กาฬสินธุ์,,,
173,สำนักงานชลประทานที่ 5,E.68A,บ้านข้องโป้,,น้ำชี,ลำพะเนียง,เมืองหนองบัวลำภู,หนองบัวลำภู,,,
174,สำนักงานชลประทานที่ 6,E.70,บ้านกุดก่วง,,น้ำชี,ลำน้ำยัง,โพนทอง,ร้อยเอ็ด,,,131.1
175,สำนักงานชลประทานที่ 6,E.72,บ้านเจียง,,น้ำชี,ลำเจียง,ภักดีชุมพล,ชัยภูมิ,,,
176,สำนักงานชลประทานที่ 6,E.73A,บ้านวังตะกู,,น้ำชี,ลำเจา,ภักดีชุมพล,ชัยภูมิ,,,
177,สำนักงานชลประทานที่ 6,E.75,บ้านหนองม่วง,,น้ำชี,ลำปาว,เมืองกาฬสินธุ์,กาฬสินธุ์,,,
178,สำนักงานชลประทานที่ 6,E.76A,บ้านโพน,,น้ำชี,ห้วยสังกะ,คำม่วง,กาฬสินธุ์,,,
179,สำนักงานชลประทานที่ 6,E.83,บ้านนาเจริญ,,น้ำชี,ลำสะพุง,หนองบัวแดง,ชัยภูมิ,,,
180,สำนักงานชลประทานที่ 5,E.79A,บ้านอีเลิศ,,น้ำชี,ลำพองโก,ภูกระดึง,เลย,,,
181,สำนักงานชลประทานที่ 6,E.84,บ้านนางแดดโคก,,น้ำชี,แม่น้ำชี,หนองบัวแดง,ชัยภูมิ,,,
182,สำนักงานชลประทานที่ 6,E.85,บ้านโนนหัน,,น้ำชี,น้ำเชิญ,ชุมแพ,ขอนแก่น,,,
183,สำนักงานชลประทานที่ 6,E.87,บ้านวังหิน,,น้ำชี,ลำปาว,กมลาไสย,กาฬสินธุ์,,,
184,สำนักงานชลประทานที่ 6,E.88,บ้านดงสวรรค์,,น้ำชี,ห้วยมูล,ท่าคันโท,กาฬสินธุ์,,,
185,สำนักงานชลประทานที่ 6,E.89,บ้านหนองริวหนัง,,น้ำชี,ห้วยลำหนองแสง,หนองกรุงศรี,กาฬสินธุ์,,,
186,สำนักงานชลประทานที่ 6,E.90,บ้านเนินยางใต้,,น้ำชี,ห้วยสังเคียบ,คำม่วง,กาฬสินธุ์,,,
187,สำนักงานชลประทานที่ 6,E.91,บ้านหนองขนวน,,น้ำชี,แม่น้ำชี,โกสุมพิสัย,มหาสารคาม,11.7,820.0,138.0
188,สำนักงานชลประทานที่ 6,E.92,บ้านท่างาม,,น้ำชี,น้ำยัง,เสลภูมิ,ร้อยเอ็ด,8.8,180.0,124.5
189,สำนักงานชลประทานที่ 6,E.93,บ้านยาง,,น้ำชี,น้ำพรม,เกษตรสมบูรณ์,ชัยภูมิ,,,
190,สำนักงานชลประทานที่ 7,E.97,บ้านดอนขยอม,,น้ำชี,แม่น้ำชี,คำเขื่อนแก้ว,ยโสธร,,,
191,สำนักงานชลประทานที่ 5,KH.9A,บ้านหนองศาลา,,โขง,น้ำก่ำ,โพนนาแก้ว,สกลนคร,,,
192,สำนักงานชลประทานที่ 5,KH.18,บ้านนาอ่าง,,โขง,ห้วยโมง,บ้านผือ,อุดรธานี,,,
193,สำนักงานชลประทานที่ 5,KH.28A,สะพานบ้านนาหลัก,,โขง,แม่น้ำเลย,วังสะพุง,เลย,10.0,610.0,239.6
194,สำนักงานชลประทานที่ 5,KH.53,บ้านหนองวัวซอ,,โขง,ห้วยหลวง,หนองวัวซอ,อุดรธานี,,,
195,สำนักงานชลประทานที่ 5,KH.54,บ้านนาหว้า,,โขง,น้ำอูน,นาหว้า,นครพนม,,,
196,สำนักงานชลประทานที่ 5,KH.58A,บ้านฟากเลย,,โขง,แม่น้ำเลย,เมืองเลย,เลย,9.0,530.0,229.0
197,สำนักงานชลประทานที่ 5,KH.61,บ้านแก่งบง,,โขง,แม่น้ำเลย,ภูหลวง,เลย,8.5,390.0,258.4
198,สำนักงานชลประทานที่ 5,KH.74,บ้านท่าห้วยหลัว,,โขง,น้ำสงคราม,บ้านม่วง,สกลนคร,,,
199,สำนักงานชลประทานที่ 5,KH.77A,บ้านกกซ้อ,,โขง,น้ำทบ,วังสะพุง,เลย,,,
200,สำนักงานชลประทานที่ 5,KH.78,บ้านน้ำฮวย,,โขง,ห้วยน้ำฮวย,เมืองเลย,เลย,,,
201,สำนักงานชลประทานที่ 5,KH.90,บ้านตองโขบ,,โขง,แม่น้ำพุง,โคกศรีสุพรรณ,สกลนคร,,,
202,สำนักงานชลประทานที่ 7,KH.91,บ้านดอนสวรรค์,,โขง,ห้วยชะโนด,ธาตุพนม,นครพนม,,,
203,สำนักงานชลประทานที่ 7,KH.92,บ้านก้านเหลืองดง,,โขง,ห้วยบางทราย,ดงหลวง,มุกดาหาร,,,
204,สำนักงานชลประทานที่ 5,KH.93,บ้านโคกคำไหล,,โขง,น้ำสงคราม,บ้านดุง,อุดรธานี,,,
205,สำนักงานชลประทานที่ 5,KH.95,บ้านแก่งไฮ,,โขง,น้ำสาน,ภูเรือ,เลย,,,
206,สำนักงานชลประทานที่ 5,KH.98,บ้านท่ากกแดง,,โขง,น้ำสงคราม,เซกา,บึงกาฬ,,,
207,สำนักงานชลประทานที่ 7,KH.99A,บ้านแก่งนาง,,โขง,ห้วยบางทราย,ดงหลวง,มุกดาหาร,,,
208,สำนักงานชลประทานที่ 7,KH.101,บ้านแก่นเต่า,,โขง,ห้วยมุก,เมืองมุกดาหาร,มุกดาหาร,,,
209,สำนักงานชลประทานที่ 5,KH.103,บ้านโนนตูม,,โขง,ห้วยหลวง,เมืองอุดรธานี,อุดรธานี,,,
210,สำนักงานชลประทานที่ 5,KH.105,บ้านผาน้อย,,โขง,น้ำป่วน,วังสะพุง,เลย,,,
211,สำนักงานชลประทานที่ 5,KH.108,บ้านพอกใหญ่,,โขง,น้ำอูน,พรรณานิคม,สกลนคร,,,
212,สำนักงานชลประทานที่ 5,KH.115,บ้านเหล่าสมบรูณ์,,โขง,น้ำสงคราม,บ้านม่วง,สกลนคร,,,
213,สำนักงานชลประทานที่ 6,M.2A,ด่านตะกา,,น้ำมูล,แม่น้ำมูล,เฉลิมพระเกียรติ,นครราชสีมา,6.7,200.0,161.0
214,สำนักงานชลประทานที่ 6,M.4,พงสวาย,,น้ำมูล,แม่น้ำมูล,ท่าตูม,สุรินทร์,8.2,1040.0,177.0
215,สำนักงานชลประทานที่ 6,M.5,เมืองคง,,น้ำมูล,แม่น้ำมูล,ราษีไศล,ศรีสะเกษ,10.75,1670.0,110.0
216,สำนักงานชลประทานที่ 6,M.6A,สตึก,,น้ำมูล,แม่น้ำมูล,สตึก,บุรีรัมย์,7.59,1170.0,123.0
217,สำนักงานชลประทานที่ 7,M.7,สะพานเสรีประชาธิปไตย,,น้ำมูล,แม่น้ำมูล,วารินชำราบ,อุบลราชธานี,7.0,2300.0,105.0
218,สำนักงานชลประทานที่ 6,M.9,ชุมชนสะพานขาว,,น้ำมูล,ห้วยสำราญ,เมืองศรีสะเกษ,ศรีสะเกษ,10.0,230.0,109.0
219,สำนักงานชลประทานที่ 7,M.11B,ตำบลพิบูล,,น้ำมูล,แม่น้ำมูล,พิบูลมังสาหาร,อุบลราชธานี,,,
220,สำนักงานชลประทานที่ 6,M.26A,ละลูน,,น้ำมูล,ลำชี,กระสัง,บุรีรัมย์,,,
221,สำนักงานชลประทานที่ 5,M.32,เชียงเพ็ง,,น้ำมูล,ลำเซบาย,ป่าติ้ว,ยโสธร,,,
222,สำนักงานชลประทานที่ 6,M.38C,คลองไผ่,,น้ำมูล,ลำตะคอง,สีคิ้ว,นครราชสีมา,,,
223,สำนักงานชลประทานที่ 6,M.42,ห้วยทับทัน,,น้ำมูล,ห้วยทับทัน,ห้วยทับทัน,ศรีสะเกษ,,,
224,สำนักงานชลประทานที่ 6,M.43A,ท่ามะปรางค์,,น้ำมูล,ลำตะคอง,ปากช่อง,นครราชสีมา,,,
225,สำนักงานชลประทานที่ 6,M.49,หนองโสน,,น้ำมูล,แม่น้ำมูล,ครบุรี,นครราชสีมา,,,
226,สำนักงานชลประทานที่ 6,M.50,ครบุรี,,น้ำมูล,ลำแซะ,ครบุรี,นครราชสีมา,,,
227,สำนักงานชลประทานที่ 6,M.66,วังชมภู,,น้ำมูล,ห้วยขะยุง,กันทรลักษ์,ศรีสะเกษ,,,
228,สำนักงานชลประทานที่ 5,M.69,ท่าบอแบง,,น้ำมูล,ลำเซบก,ตระการพืชผล,อุบลราชธานี,,,
229,สำนักงานชลประทานที่ 5,M.75,โนนยาง,,น้ำมูล,ห้วยกว้าง,พิบูลมังสาหาร,อุบลราชธานี,,,
230,สำนักงานชลประทานที่ 8,M.89,สะพานอาคารเซรุ่ม,,น้ำมูล,ลำตะคอง,ปากช่อง,นครราชสีมา,6.5,125.0,290.9
231,สำนักงานชลประทานที่ 8,M.91,โคกแดง,,น้ำมูล,ห้วยสำราญ,ภูสิงห์,ศรีสะเกษ,,,
232,สำนักงานชลประทานที่ 8,M.95A,กู่,,น้ำมูล,ลำเสียวใหญ่,สุวรรณภูมิ,ร้อยเอ็ด,,,
233,สำนักงานชลประทานที่ 8,M.98,พยุห์,,น้ำมูล,ห้วยทา,พยุห์,ศรีสะเกษ,,,
234,สำนักงานชลประทานที่ 8,M.104,วังปรัด,,น้ำมูล,แม่น้ำมูล,คู่เมือง,บุรีรัมย์,,,
235,สำนักงานชลประทานที่ 8,M.108,สระขุด,,น้ำมูล,ลำพังชู,ชุมพลบุรี,สุรินทร์,,,
